work_year,experience_level,job_title,company_location,monthly_salary_mad
2025,Intermédiaire,Application Developer,États-Unis,142266.00000000003
2025,Cadre supérieur,AI Solution Director,États-Unis,150833.33333333334
2025,Intermédiaire,Data Manager,Belgique,88086.66666666667
2025,Débutant,Cdd,France,34135.84583333333
2025,Intermédiaire,Product Owner,Tchéquie,30279.791666666668
2025,Intermédiaire,Data Analyst,Nouvelle-Zélande,101812.5
2025,Intermédiaire,Analytics Engineer,Espagne,43661.725000000006
2025,Intermédiaire,Data Scientist,Australie,119761.66666666667
2025,Intermédiaire,Postdoctoral Researcher,États-Unis,58825.0
2025,Intermédiaire,AI Engineer,Inde,44587.841666666674
2025,Intermédiaire,Analyst,Suisse,82520.91666666667
2025,Senior,Software Engineer,Pologne,94687.13333333335
2025,Senior,Engineer,Allemagne,155961.6666666667
2025,Intermédiaire,Machine Learning Developer,Canada,64642.64166666667
2025,Intermédiaire,Data Strategist,Royaume-Uni,109354.16666666667
2025,Intermédiaire,Product Owner,Canada,114582.80416666668
2025,Intermédiaire,Engineering Manager,Canada,162145.83333333334
2025,Intermédiaire,Automation Engineer,Canada,89821.25
2025,Intermédiaire,Data Specialist,Espagne,23815.075
2025,Intermédiaire,Consultant,Pays-Bas,57157.537500000006
2025,Senior,BI Engineer,États-Unis,113125.0
2025,Senior,Data Scientist,Autriche,27730.708333333332
2025,Senior,Data Scientist,Slovaquie,29530.90416666667
2025,Senior,BI Analyst,États-Unis,156678.12500000003
2025,Senior,Technical Recruiter,États-Unis,131979.1666666667
2025,Senior,DevOps Engineer,Croatie,25282.683333333334
2025,Senior,Data Visualization Developer,États-Unis,75416.66666666667
2025,Senior,Research Scientist,Finlande,176475.0
2025,Senior,Psychometrician,États-Unis,124437.50000000001
2025,Intermédiaire,Engineering Manager,Allemagne,87324.20416666668
2025,Intermédiaire,Content Writer,Allemagne,47630.904166666674
2025,Intermédiaire,Statistician,Autriche,31754.187500000004
2025,Intermédiaire,Data Analyst,Porto Rico,34691.66666666667
2025,Senior,Data Lead,France,38898.40833333333
2025,Senior,Data Visualization Expert,États-Unis,142537.50000000003
2025,Senior,Machine Learning Researcher,États-Unis,188541.66666666666
2025,Senior,Manager,Allemagne,47630.904166666674
2025,Débutant,Software Engineer,Pays-Bas,66493.36666666667
2025,Senior,Data Analytics Lead,États-Unis,128781.50000000001
2025,Débutant,Data Specialist,Slovaquie,14174.5625
2025,Intermédiaire,Data and Reporting Professional,États-Unis,62520.41666666668
2025,Intermédiaire,Data Visualization Specialist,États-Unis,62799.45833333334
2025,Senior,Lead Engineer,Royaume-Uni,122957.07083333335
2025,Senior,Data Engineer,Argentine,75567.50000000001
2025,Intermédiaire,Advanced Analytics Manager,Royaume-Uni,101305.70000000001
2025,Intermédiaire,Data Governance Manager,Canada,117650.0
2025,Intermédiaire,Data Visualization Specialist,Canada,76925.00000000001
2025,Senior,Data Architect,Portugal,65683.39166666668
2025,Senior,Data Architect,Canada,117650.0
2025,Intermédiaire,AI Researcher,Canada,131979.1666666667
2025,Senior,Engineer,Brésil,90500.0
2025,Intermédiaire,Forward Deployed Engineer,Grèce,87324.20416666668
2025,Intermédiaire,Product Manager,Suisse,128550.72500000002
2025,Senior,Power BI Specialist,Lituanie,31436.683333333334
2025,Intermédiaire,Bioinformatician,Royaume-Uni,45964.950000000004
2025,Senior,AI Lead,Royaume-Uni,62051.325000000004
2025,Senior,Insight Analyst,États-Unis,134845.00000000003
2025,Débutant,Research Fellow,Australie,80774.26666666668
2025,Intermédiaire,Encounter Data Management Professional,États-Unis,61012.083333333336
2025,Intermédiaire,AI Engineer,Lituanie,53346.73333333334
2025,Débutant,Data Analist,Pays-Bas,55643.17083333334
2025,Intermédiaire,Business Development Representative,Canada,79187.50000000001
